date,members,dues,associate,full,student,other
2011-01-01,22,1065,1,17,1,0
2011-02-01,25,1110,0,21,0,0
2011-03-01,28,1195,0,19,1,0
2011-04-01,24,1195,0,19,1,0
2011-05-01,24,1190,0,18,1,0
2011-06-01,27,1280,0,20,1,0
2011-07-01,26,1245,0,19,2,0
2011-08-01,26,1195,2,18,2,0
2011-09-01,24,1125,2,17,1,0
2011-10-01,24,1155,1,17,0,0
2011-11-01,23,1060,2,17,0,0
2011-12-01,23,1060,2,16,0,0
2012-01-01,21,990,2,13,0,0
2012-02-01,22,1085,1,15,0,0
2012-03-01,22,1070,1,16,0,0
2012-04-01,23,1120,1,17,0,0
2012-05-01,24,1170,1,17,0,0
2012-06-01,25,1220,1,17,0,0
2012-07-01,26,1240,2,17,0,0
2012-08-01,28,1340,2,19,0,0
2012-09-01,28,1295,3,18,1,0
2012-10-01,28,1310,2,18,2,0
2012-11-01,28,1310,2,18,2,0
2012-12-01,28,1325,2,19,1,0
2013-01-01,29,1360,2,24,1,0
2013-02-01,31,1445,2,24,1,0
2013-03-01,29,1345,2,23,1,0
2013-04-01,30,1365,4,23,1,0
2013-05-01,31,1385,5,24,1,0
2013-06-01,34,1505,6,26,1,0
2013-07-01,35,1525,6,26,4,0
2013-08-01,38,1630,7,27,4,0
2013-09-01,34,1420,7,24,2,0
2013-10-01,35,1465,8,24,3,1
2013-11-01,38,1555,10,25,2
2013-12-01,41,1581,13,25,2
2014-01-01,42,1586,13,22,1
2014-02-01,43,1696,11,25,1
2014-03-01,42,1710,11,26,0
2014-04-01,38,1536,9,24,1
2014-05-01,39,1586,9,25,1
2014-06-01,37,1516,8,24,1
2014-07-01,36,1545,7,25,0
2014-08-01,35,1495,7,24,0
2014-09-01,34,1415,8,22,0
2014-10-01,31,1265,9,20,0
2014-11-01,27,1091,7,18,1
2014-12-01,22,981,4,17,1
